kelime,anlam
Cüllüp,Hartlap ağacının meyvesi.
Cüvab,Cevap
Çağıl,Genellikle tarlaları temizlemek için toplanan taş yığını.
Çaman,Közde pişmiş et
Çanak,Yolların çakıştığı yer.
Çandır,Melez
Çarpana,"Kuş avlamak için kullanılan lastiklerde,içine taş konulan deri bölüm."
Çatalavrat,Bir böcek türü
Çebiç,Oğlağın büyüğü
Çebiş,Teke
Çekke,Çekirge
Çelik,Ölçek
Çellik,Tahtadan yapılmış 15-20 kg. Buğday alabilen tahıl ölçeği.
Çeltik,Pirincin tarladaki hali
Çen,Cevizin yarısı.
Çepel,Bulaşık
Çeten,Traktörde römorkun üzerine tahtalarla ilave yapılmış şekli(Bir çeten saman
Çetil,Fidan
Çevlik,Akarsu yatağında bazı büyük virajlar nedeniyle suyun bir süre ters akıp tekrar
Çılbır,Yumurtayla yapılan bir yemek türü.
Çınkı,Tutam
Çıtımık,Menengiç.Bir bitki
Çıtırık,Kırılması zor olan(Bu ceviz çok çıtırık)
Çiğit,Pamuk tohumu
Çimmek,Yıkanmak
Çinçik,Serçe
Çinke,Küçük parça
Çirpeden,Bir anda
Bocit,Sürahi
Çitil,"İçi kalaylı küçük bakır bakraç, 1 litre su alır."
Çitlik,Tarla ve bahçelerin kenarındaki çitleri örmek için kullanılan çalılar.
Çont,Taşlarla oynanan bir oyun
Çotul,Ağacın kollarının ilk ayrıldığı yer.
Çömçe,Büyük tahta kaşık. Yannıktan iki çömçe ayran al.
Çul,Keçi kılından dokunan ve yaygı olarak kullanılan düz ve desensiz dokuma.
Çüven,Davulun tokmağı
Dağdağan,Tohumlu bir ağaç
Dalaykırı,Yukarı doğru.
Dalgeçir,Cepken
Dam,Ev.
Damızlık,Tohumluk
Dandik,Dolma tüfeğin kötüsü.
Dantil,Dantel
Darbız,Tarlanın nemini alması
Davış,"Küçük bir hareket, kıpırtı."
Dayak durmak,Payandalık yapmak. Dayak durda şu unlukları beygire yükleyelim.
Dayramak,Eskimek
Debiyak,Az önce.
De hele,Başla bakayım.
Değilcikden,Mahsustan.
Değne,Bak.
Dellenme,Delilenme
Demlik,"Sürekli, dönmemek üzere"
Depik,Tekme
Depki,Tarhana aşı karıştırmaya yarayan aygıt
Deşirmek,Toplamak.
Devlisigün,Bir sonraki gün.
Devrede,Devirde
Devrikisinde,Ötekisinde
Dezze,Teyze
Dıkıl,Gir.
Dıkılmak,Girmek
Dıkız,"Fazla,taşkın"
Dırgıl dırgıl,Yarık yarık
Dibek,Büyük taş
Digrak,Sıkı
Dikeç,Çitler için kullanılan ağaç kazıklar. Bahçenin ağılı için bir yük dikeç gerek.
Dil,Anahtar
Dilbaz,Güzel konuşan.
Dillemek,Kilitlemek
Dinei,Dur.
Diniyele,Dinle hele
Dipili düşmek,Aniden ortaya çıkmak.
Dirgen,Ekin sapını patosa atmaya yarayan alet
Dirizelinç Etmek,Can Çekiştirmek
Dombalak,Takla.
Donuktu,Durdu.
Dombalak,Takla
Don kazanı,Büyük bakır kazan
Don yumak,Çamaşır yıkamak. Deri(Perşembe) günü anam don yuyacak.
Don,Külot
Döğme,"Pilav, maraş tarhanası ve aşure yapımında kullanılan değlipte dövülmüş"
Döl,Oğul.
Duak,Duvak
Dud,Dut
Dulad,Rüzgarın ulaşmadığı yer
Duluk,Bir şeyin yan tarafı. Daha çok binaların yan tarafı ve insan yanakları için
Dunukuyor,Dökülüyor
Dutmaç,"Bir yemek türü,hamurdan yapılır"
Düneklik,Kümes
Dürcü,Dünürcü
Düşek,Tarla payı
Düve,Doğurmamış dişi sığır.
Düvecek,Sarımsak döven tokmak
E,İyi
Ebelik,Ot
Ebire,Be adam
Ede,"Erkek kardeş, abi."
Eğrelti,Meşe ağacı
Ehliyel,Aile bireylerinin toplamı
Ehliz,Ehil.
Ehmet,Ahmet
Ekseri,Genellikle.
Elbir,"Elçi, işbirlikçi."
Elefetsiz,Manasız.
Eletmek,Ulaştırmak
Ellehem,Herhalde
Ellengeç,Yengeç
Ellik,Ekin biçerken parmaklara takılan tahta koruyucular.
Elllehem,"Sanki, herhalde"
Emenmek,Utanmak.
Emilik,Yeni doğmuş keçi yavrusu Bizim iki emiliğimiz oldu.
Emmi,Amca
Encik,Köpek yavrusu.
Enis,Aşağı doğru meyilli
Eniş,Rampa
Erlik Gavırı,Ermeni
Eses,Esans
Esga,Ateşli odun.
Essah mı,Sahi mi
Eşep,Eşarp
Eşgere,Apaçık.
Et keseri,Başka yerlerde  satır diye  adlandırılan  ve et kesmede kullanılan alet.
Evlek,Tarlaya hat çekilmesi.
Evseme,Savurarak eleme işi
Evsin,Bir yerde bekleyerek avların buluduğu yere gelmesini isteyen avcıların içinde
Fak,Tuzak
Fakı,Hoca
Fallik,"Yaramaz, ahlaksız."
Fanilye,Kazak
Farsak,Kirli
Fas,İçi boş
Fasari,Boş iş
Fedik,Haşlanmış buğday
Fel fel,Tir tir.
Felan,Tarlanın tohum ekilmeden önce sürülmesi
Fıldırmak,Fırlatmak
Fırıştak,Topaç
Filtik Filtik,Parça parça.
Firez,Kurumuş ekin kökü
Firik,Olgunlaşmamış olan
Fistan,Kadın elbisesi
Fol,Tavuğun altına konan yumurta
Gabir,Kabir.
Gaçamak,Mısır unundan yapılan bir tür yemek
Gada,"Sıkınta, Tasa"
Gallep,Güvercin
Gallep,Güvercin Çocuklar gallep avına gitti.
Galli,Sincap
Gallin,Pipo
Galtak,"Kötü, yaramaz kadın"
Gamga,Ağaç kabuğu
Gampık,Ağaç kabuğu
Gancık,Dişi köpek.
Gapgacak,Mutfak eşyası
Gapıt,Pardüsü.
Gaplık,Raf
Garaa,Ağacın dalını eğmeye yarayan çatal
Garaböcük,Domuz
Garangaz,Yaşlı ağaç
Garanışmak,Havanın kararması
Garı,Yaşlı
Gasbalık,Kapı
Gasıl,Hayvanlara yeşil ot olarak yedirmek için ekilen arpanın başak çıkarmamış
Gasıl,Otundan yararlanmak için ekilmiş arpa
Gaspalık,Bahçe kapısı
Gaşşak,Sık
Gavut,Yalan
Gaygana,"Tavada, sahanda yumurta. Yemek yoktu, misafirlere gaygana yaptım."
Gazzık,Kazık
Geçek,Yol
Geçgele,Tahtadan yapılmış ve üzerinde yük taşımaya yarayan aygıt
Geliç,Ot
Gem,Atları kontrol için yularla birlikte ağzına takılan madeni parça.
Gem,"Döven, harman sürme aleti."
Gem,"Hayvanların ağzına vurulur.ekin sapını ezıp tanelerini ayıran, altıkeskin"
Gıcır gıcır,Yeni
Gıcırtı,Kapı sesi.
Gıç,Ayak
Gıçıırık,Kıçıkırık
Gıgırmak,Ötmek.
Gır,Sarıya yakın renk.
Gırat,Ölçü kabı
Gırklık,"Keçi, koyun yüyü kesmeye yarayan makas"
Gısırak,Kısrak
Gıska,Ekilecek soğan
Gısmık,Cimri
Gıtgırtı,Tırtıl
Gıv etmek,Takip etmek.
Gıvrışık,Kıvırcık
Gıyık,"Büyük iğne, çuvaldız"
Gıyık,Çuvaldızın büyüğü
Gıyırgan,"Küçük ağaç parçası,kıymık"
Gızılbacak,Bir bitki
Gızınmak,Isınmak
Gicişmek,Kaşınmak
Gocabaş,Şeker pancarının patetes kısmı
Gocunmak,Alınmak
Goddik,"Ukala,ufak"
Golan,Kıldan yapılmıış halat
Goncolos,"Canavar, ayının büyüğü,gulyabaninin küçüğü"
Gonursu,Yanmış kıl tozu
Gook,Ağaç oyuğu
Gopmak,Koşmak
Goruverişin,Bırakıverince
Goz,Ceviz
Gozan,Kozan
Gö,Yeşil.
Gö,Yetmemiş
Göbelek,Mantar
Göde,Şişman
Gökgüdü,Bir serçe türü
Gölük,Kötü cins at
Gön,Deri
Görümce,Kocanın kız kardeşi
Grat,İki çelik ölçeğe bir grat denir.
Gubarmak,Hava atmak
Gubarmak,"Hindi, horoz gibi bazı kuşların tüylerini kabartarak kasılması."
Gulunç,Kürek kemiği
Gunduz,Kedigillerden bir kedi
Gungulu gook,Bir böcek
Gunnacı,Yavrulayacak hayvan
Gunnamak,Kedi ve köpeğin yavru
Gurk,Kuluçkaya yatmış tavuk
Gurmut,Bir ahlat türü.
Gusana,Altı yedi litrelik ağzı yayvan bakır ve kalaylı su ve süt kabı.
Guzluk,Küçük baş hayvan ahırı
Güccük,Küçük
Gümbür,Yayık
Günden yazı,Günden tarafı.
Gürben,Kutlama
Gürgene,Bir ağaç
Haası,Hangisi
Habban,Kuş tutmak için yapılan tuzak
Haçan,Ne çabuk.
Hakına,Oğlakla keçi arası dişi keçi. İki hakınamız var seneye süt veriler.
Hakına,Doğurmamış keçi
Halbır,"Kalbur, kasnağa takılı deri liflerinden yapılmış eleme kabı."
Halva,Helva
Ham,Olgunlaşmamış.
Hamıt,Atın boynuna takılır.
Hamlamak,Yorulmak
Hamut,Atların pulluk ve gem çekmesinde boynuna takılan
Hamzan,Çiriş otunun kökünün tozundan yapılan hamurdan elde edilen ve teryağı
Haral,Büyük çuval
Hardalatsız,Biçimsiz
Hareni,Orta Kazan
Harnıp,Bir ağaç türü.
Harnıp,Keçi boynızu
Hartlap,Bitki
Hasan ka,Hasan Kâhya
Hatça,Hatice
Hayıf,İntikam
Hayma,Gölgelik amacıyla ağaçtan sundurmalar ve onun üzerine atılan dallardan
Helik,Küçük taş parçası
Helke,"Su kabı, ova"
Heral,Herhalde
Herif,Bey
Heril,İpek
Hetif,Üzümün döküntüsü
Hıllangaç,Salıncak
Hıltan,Kürdan
Hırsunmak,Hor görmek
Hıvladmak,Ürkütmek
Hiza,"Yan yana, aynı paralelde olma hali."
Hobilik,Yuvarlak
Hola,Fol
Honturuş,Biçimsiz
Horalı,Komik
Horanta,Kalabalık
Horum,Susam bitkisinin bağlarından oluşan piramit şeklindeki yığın.
Hota,Kabadayı.
Hozak,Ham incir meyvesi
Hölümek,Bazı tohumları tarlaya ekmeden önce ıslatmak.
Hölümek,Buğdayı suyla karıştırmak.
Höörmek,Yüksek sesle ağlamak.
Hörtük,İşe yaramaz
Hörtük,Argo bir beddua
Icıcık,Çok az
Irahmatlık,"Rahmetlik, ölü"
Irbık,İbrik.
Irgat,İşçi.
Irızık,Rızk
Isdar,"Çul, çuval, kilim dokuma tezgahı."
Işgın,Bitki ve ağaçların filizi.
Işgın,Filiz.
Işgıye,Eşkıya
Işımadan,Sabah olmadan
İbili,Bir kuş
İdare,"Lamba , aydınlatma aracı"
İğlemek,Zayıflamak
İğdiş,Erkekliği alınmış teke
İkan,İken.
İliksiz,"Yaramaz, geveze"
İnne,İğne
İnnelik,Bitki
İpissiz,Kimse yok
İrellek,"Daha sonra, ileri tarafta"
İrkme,Biriktirme
İsilik,Vücudun değişik yerlerinde oluşan kızartı İrişgit: Et sucuğu.
İta,Un koyulan sofra.
İtburnu,Kuşburnu
İtee,Ekmek yaparken üzerine un konulan büyük ve kalın bez
İteğe,Ekmek yaparken hamur tahtasının altında kullanılan ve üzerine un dökülen
İvil İvil,Telaş içinde
Kakılı,Oldukça   fazla.
Kalbur,Buğday eleği.
Kamgı,Ağaç kabuğu .
Kanalga,Konaklama yeri.
Kapız,Taşlık arazi
Karaaş,Kara kış.
Karaböcük,Domuz
Karadul,Bir böcek
Katıklama,Ayranla herhangi bir şeyin karıştırılmış hali
Kav,İnce deri.
Keeni,Küçük çapa
Kele,Bayanlar için bir hitap sözü
Kellenkeste,Kertenkele
Kemın,Kimyon
Kenger,Bir bitki
Kepir,Kayalık yer
Kepmek,Yıkılmak
Kerevet,Sedir
Keri,Sonra
Kertik,Çentik
Kertiş,Kertenkele
Kesge,Ocakta yarısı yanmış odun parçası.
Kesme,Meşe
Keş,"Arpa, buğday gibi tahılı eledikten sonra saratın üstünde kalan artık"
Kımıldamak,Kıpırdamak.
Kıpırtı,Hafif ses.
Kiktik,Küçük sabun.
Kindel,Tas
Kirç,Dut meyvesinin hamı
Kirkit,Dokumacılıkta kullanılan bir aygıt
Kirmen,İp eğirmek için dört çapraz kanatlı tahtadan yapılmış
Kirmen,Koyun yünü ve keçi kılından ip yapmaya yarayan bir aygıt
Kirmeni,Bağlı
Kirve,Sünnet olan çocuğu tutan kişi.
Kolan,Halat
Kökgüç,Ucu sivri sopa
Kömbe,Börek
Kömeç,Bir bitki
Könçek,"Külot, don"
Köre,Demir alet yapılan yer.
Köryapalak,Yarasa
Köstek,Manda ve sığırların hareketlerini kısıtlamak için bir ayağına bağlanan ağırlık.
Köstü,Köstebek
Köstü,Faregillerden bir hayvan
Köşger,Deri işiyle ugraşan kişi
Köşşek,Devenin yavrusu.
Köşt,İskemle
Köynek,"Giysi,atlet"
Kuzgun,Kuzeye bakan soğuk yer.
Küçcürek,Küçük
Küncü,Susam.
Künde,Her gün
Küpmül,Küncülerin toplanma hali
Küren,Yaban hayvanları   sürüsü.
Kürü,Atın yavrusunun ilk günlerindeki adı.
Kürümek,İleri doğru süpürmek
Küşne,Burçak
Ladır,İkinci askerlik.
Langır lungur,"Tantanalı, gürültülü."
Lemerme,Nemlenme
Lepe,Lapa
Lepeç,Eziklik
Lığlak,Aşağı doğru meyilli
Lolamak,Toprak yerin üzerini silindirle sıkıştırmak
Loo,Silindir şeklindeki taş.
Loş,"Birbirine karıştırılmış yemek, düğün yemeği."
Lök lök,"Büyük büyük, iri iri."
Lök,Büyük salyangoz.
Löküs,Aydınlatma cihazı (lüks).
Lös,Hantal
Löstür,Şişman
Maa,Uzun ağaç
Maara,Mağara.
Mahrama,Havlu
Malağma,Harmanda dövülen sapların tane ve samanlarını ayırmak için yığın haline
Malak,Ayı yavrusu
Malama,"Tortu, çöp."
Malamat olmak,Rezil olmak
Malamat,Etrafa rahatsızlık verici gürültü.
Malamat,Rezil
Manca,Çoban salatası
Mangır,Para
Mantıfar,Sarı renkli bir çeşit çiçek.
Mantız,Bir tür ızgaralı mangal
Maraz,Hastalık.
Maşat,Çamaşır mandalı
Matrap,Sabanda kullanılan küçük sopa
Meke,Mısır
Meses,Uzun sopa
Meses,"Sabanla çift sürülürken,hayvanı ürkütmeye yarayan bir sopa"
Meta,Ne kadar.
Mıcık,Çamur.
Mıdıklı,Alıngan
Mık,Çivi
Mıkla,Yağda pişmiş yumurta
Mıktar,Muhtar
Mıraz,"Murat, istek."
Mırık,Bataklık haline gelmiş çamur.
Mıymıntı,Elinden iş gelmez adam.
Milek,Akarsu kenarındaki mil toprağın bulunduğu alan.
Miltan,Gömlek
Misilli,"Güzel, iyi"
Mitil,"Eskimiş, parçalanmış."
Mitil,Parçalanmış bez yığını
Motor,Traktör
Mottik,Küçük düz taş
Mucuk,Küçük sinek.
Mulla,Molla
Mundar,Eti yermeyen hayvan.
Muşduluk,Müjdelik.
Nacak,Balta.
Nakit,Ne vakit.
Namtı,Sapsız bıçak
Navtıcın,Ne yapacaksın.
Navutuyon,Ne yapıyorsun
Neceez,Niçin
Necimiş,Neymiş.
Nedii,Niçin
Nen söylemek,Ninni söylemek.
Nenceez,Çok az.
Nene,Nine
Ninemeli,Ne gereği var.
Nedii,Ne için.
Oba,"El, yabancı yurt."
Ocaklık,Ateş yakılan yer.
Oha,Kabaca uyarma
Okuntu,"Düğüne davet edilirken verilen hediye, davetiye"
Omuzlağ,Omuzda taşınan odun.
Oncaaz mı,O kadar mı
Ondan kerli,Ondan sonra.
Ordanarı,Ordan öyle.
Orklemek,Bağlamak.
Ota,O kadar.
Oval,Halka.
Ödü ağca,Korkak.
Ölgeez,Ölmek üzere.
Önlüün körü,"Bir tür ilenme, beddua"
Örk,Çayırda havanın bir bölgeden ayrılmadan yayılması için uzun bir halatın bir
Örme,Genelde büyük baş hayvanları bağlamak için kullanılan bir tür ip
Örsüdü,Yürüdü.
Örtük,Kapalı.
Öteberi,İhtiyaçlar
Öteçe,Öte taraf
Öteen,Geçen gün.
Öteyece,Öteki Taraf
Palaz,Yere serilen kalın çul.
Palaz,Keklik yavrusu
Palazı çıkmak,Yere serilmek.
Paldın,Atların semer veya eyerini vücûduna bağlayan kuşak.
Palıt,Palamut
Pampal,Gelincik çiçeği.
Partutuş olmak,Eli ayağını birbirine dolaşmak
Patısga,Patiska
Patik,Çocuk ayakkabısı
Pavkırma,Yırtıcı hayvan sesi.
Pazen,Bir çeşit kumaş
Peh,Çok güzel.
Pehlil,Zavallı
Pereden,Aniden.
Perekente,Perakende
Peşkir,Havlu
Pırnat,Ekin demeti
Pırtı,Elbise
Pısacak,Saklanacak
Pıslan Patır,Saklambaç
Pıslanıb,Saklanıp
Pıslanpatır,Saklanbaç oyunu.
Pısmak,Saklanmak
Pıtık,Ardıç türü
Pin,Kümes
Pinnik,Kümes
Pontil,Pantolon
Portmak,Bir delikten geçmek.
Portmak,Boşanmak
Potuk,Camuzun (manda) küçük yavrusu
Pur,Kuru kil görünümünde verimsiz toprak.
Pus,Sis
Pür,Yanıcı çam yaprağı topluluğu
Pürçük,Mısır püskülü
Püsü,Kedi
Revan,Yürüyüp gitmek.
Riayet,Uymak.
Rivayet,Hikaye ile söylenmiş.
Sabı,Sübyan çocuk
Sabık,"Acele, çabuk."
Saca,Üzerinde yemek pişirmek için kullanılan demir alet
Sağantası,Altı yedi litre süt alabilen ve hayvanlardan süt sağmakta kullanılan madeni
Sakga,"Fasulye, badem çekirdeği, palamut gibi iki parçadan"
Sakıldak,Koyunların sıvı dışkılarının arka bacaklarındaki yünlere yapışarak kuruması
Salak,İçerisi kısmen ıslak geniş alan.
Salıg,İpucu
Samı,Sabanda kullanılan ve öküzlerin boynuna getirilen kısım
Saprasekil,Gelişigüzel.
Sarat,Büyük kalbur.
Sarat,Büyük gözenekli elek
Sarp,Çıkılması güç yer.
Satır,Bıçak
Satır,"Helke, kova"
Satır,"İçi kalaylı bakır bakraç, su taşımada kullanılır. 8 litre su alır."
Seen,"Tabak, tepsi"
Seğirtmek,Biraz acele ile koşmak.
Seğmen,Gelin alayı.
Sehen,Bakır tabak
Sehep çıkma,Tanıma
Sehil,Alçak engin
Selinti,Nehirden yakalanan odun parçalan.
Selinti,Selin sürüklediği çöp.
Seyrelmek,Sık olmamak
Sıklat,Sıcak
Sıklatsıramak,Fazla ısı nedeniyle bunalmak.
Sıpa,Eşek yavrusu
Sıygal,Kaygan.
Sıypınmak,Kıç üstü oturarak bir yerden aşağı kaymak.
Sıypınnak,Pur topraktan oluşan yamaç.
Sille,Tokat
Soğukluk,Semiz otu
Solan,Dinlendirilen tarla.
Soyka,(Argo) Ölü üzerinden çıkan giysi
Sömelek,"Küçük, ufak"
Suluk,Sapı demirden bıçak
Sülemen,Süleyman
Süllüm,Merdiven
Sülük,Salyangoz
Süngüç,Baş ve işaret parmağının uçları arasındaki uzunluk ölçüsü.
Sürdürgü,Kamıştan yapılmış düdük.
Sürelge,Sürülen tarla.
Sürgeç,Bulaşık süngeri
Süük,Çelenk
Süük,Toprak evlerin üstündeki çıkıntı
Süven,Uzun ağaç
Şakül,Duvar terazisi
Şaplak,Elin içi ile vurulan tokat.
Şapta,Hayma yapımında dalları tutmak için kullanılan sundurmalar.
Şarlak,Çağlayan
Şebeden,"Hoş kokulu, yalnız koklamak için yetiştirilen bir kavun cinsi."
Şehre,Biçilmiş ekinin yığın şeklinde değil de çember şeklinde istiflenmesi.
Şelek,"Bir kişinin sırtında taşıyacağı kadar, odun, çalı veya biçilmiş ekin yükü."
Şelek,Yük.
Şeş,Datel şeklindeki kadın baş örtüsü
Şif,Pamuk çalısında toplamaya hazır hale gelmiş pamuğu içinde barındıran kap.
Şifan,Yulaf
Şinci,Şimdi
Şipidik,Alkış.
Şire,Tatlı
Şişek,Doğurmamış koyun
Şişek,Kuzu ile koyun arası dişi koyun Bizim iki şişeğimiz var.
Şivşirmek,Kışkırtmak.
Şoora,Şura
Şor,Laf
Taka,Tahta çardak
Taktacı,Tahtacı
Taman,Dedim ya. Yaptım ya. Ben sana anahtarı verdim taman.
Taman,Hani bilirsin ya.
Tamaşa,Seyir.
Tandır,Üzerinde çörek pişen yassı taş
Tantana,Boş laf.
Tapına düşmek,Denk düşmek.
Tapkı,Sopa.
Tarpadan,Aniden.
Taşkala,Dalga geçmek.
Tav,Kıvamına gelmek.
Tavatır,Fek güzel.
Tavlak,Ceviz.
Tavlar,Üzerine kapkacak koymak için raflardan oluşan tezgah.
Tavlar,Mutfakta kap-kacak koymak için yapılmış raflar.
Tavlı,İyi besili.
Teberik,Biricik
Teh,Çok güzel.
Teke,Erkek keçi
Teleme,"Keçilerden yeni, sağılmış sütünden yapılan bir tür peynir."
Telis,Keten torba
Tengerek,Yuvarlak.
Tergemek,Bırakmak
Tesbi,Makigillerden bir bitki
Teselleme,Misal vermek.
Test,Büyük leğen
Teşt,Leğen
Tevir,Çeşit
Tıngırık,Çinko parçası
Tırıp,Çok pek çok
Tırıs,"Hızlı, süratli."
Tırpan,Ekin biçmede kullanılan aygıt
Tille,Beygire yük sarmak için semerin iki yanına halatla yapılan üzengi.
Tindirik,Elin orta parmağıyla vurulan fiske
Tingmek,Fırlamak
Tinkitmek,Sıçratmak.
Tintirik,Fiske.
Tokaç,Çul yıkamaya yarayan kalın sopa
Toklu,Boynuzlu gürbüz koç.
Toklu,Erkek koyun.
Töde,Saman yığını
Tuluk,Tulum halinde çıkarılmış keçi derisinden yapılan su taşıma aracı.
Tummak,Suya dalmak
Tusbaa,Kaplumbağa
Tutam,"Hem demet, hem de el genişliği kadar uzunluk ölçüsü olarak kullanılır."
Tük,Soğanın başı
Ufra,Ekmek yaparken hamura kıvam veren un
Umsuluk,"Bunalmak, sıkıntıya girmek."
Unnuk,Un için ayrılmış buğday.
Urubla,Çeyrek tas.
Urup,Dörtte bir.
Uruplağa,Tahtadan yapılmış 2-3 kg buğday alabilen tahıl ölçü kabı.
Uundu,Bebeklerin ağlayarak kendinden geçmesi.
Uyluk,"Bacak, bud."
Üleş,Kokmuş hayvan ölüsü
Ülüş,Komşulara yemek verme
Ürmek,Köpek sesi.
Ürtmek,Mağlup etmek
Ütüzlenmek,Süslenmek.
Üvez,Sivrisinek
Üzengilik,Gelin indirirken geline verilen bahşiş
Varışın,Varınca
Vasayıt,Binek aracı.
Vayvilim,"Figan, ağıt."
Velvele,Gürültü.
Verecekli,Borçlu.
Vıcık vıcık,Çok sulandırmak.
Vıddırıvızzık,İşe yaramaz nesne
Vırtgel,Aynı yerde gidip gelme.
Vıykıraak,Bağırmak.
Vıykırınca,Bağırınca
Vızır vızır,Çarçabuk gelip geçen şey
Vızırtı,Boş konuşma.
Vızzık,Sigara izmariti.
Vizzo,Huylandırmak.
Yaalık,Eşarp
Yaba,Saman atmaya yarayan kürek
Yadırgı,Yabancı.
Yağlık,"Ter silmek için kullanılan baş örtüsü, el için kullanılan mendile ise el yağlığı"
Yalak,Çukur
