document_index,similarity_score,comment
231,0.0,i̇yi
232,0.0,ot
233,0.0,adam
234,0.0,erkek kardeş abi
235,0.0,meşe ağacı
236,0.0,aile bireylerinin toplamı
237,0.0,ehil
238,0.0,ahmet
239,0.0,genellikle
240,0.0,elçi işbirlikçi
241,0.0,manasız
242,0.0,ulaştırmak
243,0.0,herhalde
244,0.0,yengeç
245,0.0,ekin biçerken parmaklara takılan tahta koruyucular
246,0.0,herhalde
247,0.0,utanmak
248,0.0,yeni doğmuş keçi yavrusu bizim iki emiliğimiz oldu
249,0.0,amca
250,0.0,köpek yavrusu
251,0.0,aşağı doğru meyilli
252,0.0,rampa
253,0.0,ermeni
254,0.0,esans
255,0.0,ateşli odun
256,0.0,sahi mi
257,0.0,eşarp
258,0.0,apaçık
259,0.0,başka yerlerde satır adlandırılan et kesmede kullanılan alet
260,0.0,tarlaya hat çekilmesi
261,0.0,savurarak eleme işi
262,0.0,bir yerde bekleyerek avların buluduğu yere gelmesini isteyen avcıların içinde
263,0.0,tuzak
264,0.0,hoca
265,0.0,yaramaz ahlaksız
266,0.0,kazak
267,0.0,kirli
268,0.0,i̇çi boş
269,0.0,boş iş
270,0.0,haşlanmış buğday
271,0.0,tir tir
272,0.0,tarlanın tohum ekilmeden önce sürülmesi
273,0.0,fırlatmak
274,0.0,topaç
275,0.0,parça parça
276,0.0,kurumuş ekin kökü
277,0.0,olgunlaşmamış olan
278,0.0,kadın elbisesi
279,0.0,tavuğun altına konan yumurta
280,0.0,kabir
281,0.0,mısır unundan yapılan bir tür yemek
282,0.0,sıkınta tasa
283,0.0,güvercin
284,0.0,güvercin çocuklar gallep avına gitti
285,0.0,sincap
286,0.0,pipo
287,0.0,kötü yaramaz kadın
288,0.0,ağaç kabuğu
289,0.0,ağaç kabuğu
290,0.0,dişi köpek
291,0.0,mutfak eşyası
292,0.0,pardüsü
293,0.0,raf
294,0.0,ağacın dalını eğmeye yarayan çatal
295,0.0,domuz
296,0.0,yaşlı ağaç
297,0.0,havanın kararması
298,0.0,yaşlı
299,0.0,kapı
300,0.0,hayvanlara yeşil ot olarak yedirmek ekilen arpanın başak çıkarmamış
301,0.0,otundan yararlanmak ekilmiş arpa
302,0.0,bahçe kapısı
303,0.0,sık
304,0.0,yalan
305,0.0,tavada sahanda yumurta yemek yoktu misafirlere gaygana yaptım
306,0.0,kazık
307,0.0,yol
308,0.0,tahtadan yapılmış üzerinde yük taşımaya yarayan aygıt
309,0.0,ot
310,0.0,atları kontrol yularla birlikte ağzına takılan madeni parça
311,0.0,döven harman sürme aleti
312,0.0,hayvanların ağzına vurulur ekin sapını ezıp tanelerini ayıran altıkeskin
313,0.0,yeni
314,0.0,kapı sesi
315,0.0,ayak
316,0.0,kıçıkırık
317,0.0,ötmek
318,0.0,sarıya yakın renk
319,0.0,ölçü kabı
320,0.0,keçi koyun yüyü kesmeye yarayan makas
321,0.0,kısrak
322,0.0,ekilecek soğan
323,0.0,cimri
324,0.0,tırtıl
325,0.0,takip etmek
326,0.0,kıvırcık
327,0.0,büyük iğne çuvaldız
328,0.0,çuvaldızın büyüğü
329,0.0,küçük ağaç parçası kıymık
330,0.0,bir bitki
331,0.0,isınmak
332,0.0,kaşınmak
333,0.0,şeker pancarının patetes kısmı
334,0.0,alınmak
335,0.0,ukala ufak
336,0.0,kıldan yapılmıış halat
337,0.0,canavar ayının büyüğü gulyabaninin küçüğü
338,0.0,yanmış kıl tozu
339,0.0,ağaç oyuğu
340,0.0,koşmak
341,0.0,bırakıverince
342,0.0,ceviz
343,0.0,kozan
344,0.0,yeşil
345,0.0,yetmemiş
346,0.0,mantar
347,0.0,şişman
348,0.0,bir serçe türü
349,0.0,kötü cins
350,0.0,deri
351,0.0,kocanın kız kardeşi
352,0.0,i̇ki çelik ölçeğe bir grat denir
353,0.0,hava atmak
354,0.0,hindi horoz kuşların tüylerini kabartarak kasılması
355,0.0,kürek kemiği
356,0.0,kedigillerden bir kedi
357,0.0,bir böcek
358,0.0,yavrulayacak hayvan
359,0.0,kedi köpeğin yavru
360,0.07857862729411529,kuluçkaya yatmış tavuk
361,0.0,bir ahlat türü
362,0.0,altı yedi litrelik ağzı yayvan bakır kalaylı su süt kabı
363,0.0,küçük baş hayvan ahırı
364,0.0,küçük
365,0.0,yayık
366,0.0,günden tarafı
367,0.0,kutlama
368,0.0,bir ağaç
369,0.0,hangisi
370,0.0,kuş tutmak yapılan tuzak
371,0.0,çabuk
372,0.0,oğlakla keçi arası dişi keçi i̇ki hakınamız var seneye süt veriler
373,0.0,doğurmamış keçi
374,0.0,kalbur kasnağa takılı deri liflerinden yapılmış eleme kabı
375,0.0,helva
376,0.0,olgunlaşmamış
377,0.0,atın boynuna takılır
378,0.0,yorulmak
379,0.0,atların pulluk gem çekmesinde boynuna takılan
380,0.0,çiriş otunun kökünün tozundan yapılan hamurdan elde edilen teryağı
381,0.0,büyük çuval
382,0.0,biçimsiz
383,0.0,orta kazan
384,0.0,bir ağaç türü
385,0.0,keçi boynızu
386,0.0,bitki
387,0.0,hasan kâhya
388,0.0,hatice
389,0.0,i̇ntikam
390,0.1593906132920615,gölgelik amacıyla ağaçtan sundurmalar onun üzerine atılan dallardan
391,0.0,küçük taş parçası
392,0.0,su kabı ovum
393,0.0,herhalde
394,0.0,bey
395,0.0,i̇pek
396,0.0,üzümün döküntüsü
397,0.0,salıncak
398,0.0,kürdan
399,0.0,hor görmek
400,0.0,ürkütmek
401,0.0,yan yana aynı paralelde olma hali
402,0.0,yuvarlak
403,0.0,fol
404,0.0,biçimsiz
405,0.0,komik
406,0.0,kalabalık
407,0.0,susam bitkisinin bağlarından oluşan piramit şeklindeki yığın
408,0.0,kabadayı
409,0.0,ham incir meyvesi
410,0.0,tohumları tarlaya ekmeden önce ıslatmak
411,0.0,buğdayı suyla karıştırmak
412,0.0,yüksek sesle ağlamak
413,0.0,i̇şe yaramaz
414,0.0,argo bir beddua
415,0.0,
416,0.0,rahmetlik ölü
417,0.0,i̇brik
418,0.0,i̇şçi
419,0.0,rızk
420,0.0,çul çuval kilim dokuma tezgahı
421,0.0,bitki ağaçların filizi
422,0.0,filiz
423,0.0,eşkıya
424,0.0,sabah olmadan
425,0.0,bir kuş
426,0.0,lamba aydınlatma aracı
427,0.0,zayıflamak
428,0.0,erkekliği alınmış teke
429,0.0,i̇ken
430,0.0,yaramaz geveze
431,0.0,i̇ğne
432,0.0,bitki
433,0.0,kimse yok
434,0.0,sonra ileri tarafta
435,0.0,biriktirme
436,0.0,vücudun değişik yerlerinde oluşan kızartı i̇rişgit et sucuğu
437,0.0,un koyulan sofra
438,0.0,kuşburnu
439,0.0,ekmek yaparken üzerine un konulan büyük kalın bez
440,0.0,ekmek yaparken hamur tahtasının altında kullanılan üzerine un dökülen
441,0.0,telaş içinde
442,0.0,oldukça fazla
443,0.0,buğday eleği
444,0.0,ağaç kabuğu
445,0.0,konaklama yeri
446,0.0,taşlık arazi
447,0.0,kara kış
448,0.0,domuz
449,0.0,bir böcek
450,0.0,ayranla herhangi bir şeyin karıştırılmış hali
451,0.0,i̇nce deri
452,0.0,küçük çapa
453,0.0,bayanlar bir hitap sözü
454,0.0,kertenkele
455,0.0,kimyon
456,0.0,bir bitki
457,0.0,kayalık yer
458,0.0,yıkılmak
459,0.0,sedir
460,0.0,sonra
461,0.0,çentik
462,0.0,kertenkele
463,0.0,ocakta yarısı yanmış odun parçası
464,0.0,meşe
465,0.0,arpa buğday tahılı eledikten sonra saratın üstünde kalan artık
466,0.0,kıpırdamak
467,0.0,hafif s
468,0.0,küçük sabun
469,0.0,ta
470,0.0,dut meyvesinin hamı
471,0.0,dokumacılıkta kullanılan bir aygıt
472,0.0,i̇p eğirmek dört çapraz kanatlı tahtadan yapılmış
473,0.0,koyun yünü keçi kılından ip yapmaya yarayan bir aygıt
474,0.0,bağlı
475,0.0,sünnet olan çocuğu tutan kişi
476,0.0,halat
477,0.0,ucu sivri sopa
478,0.0,börek
479,0.0,bir bitki
480,0.0,külot
481,0.0,demir alet yapılan yer
482,0.0,yarasa
483,0.0,manda sığırların hareketlerini kısıtlamak bir ayağına bağlanan ağırlık
484,0.0,köstebek
485,0.0,faregillerden bir hayvan
486,0.0,deri işiyle ugraşan kişi
487,0.0,devenin yavrusu
488,0.0,i̇skemle
489,0.0,giysi atlet
490,0.0,kuzeye bakan soğuk yer
491,0.0,küçük
492,0.0,susam
493,0.0,gün
494,0.0,küncülerin toplanma hali
495,0.0,yaban hayvanları sürüsü
496,0.0,atın yavrusunun ilk günlerindeki adı
497,0.0,i̇leri doğru süpürmek
498,0.0,burçak
499,0.0,i̇kinci askerlik
500,0.0,tantanalı gürültülü
501,0.0,nemlenme
502,0.0,lapa
503,0.0,eziklik
504,0.0,aşağı doğru meyilli
505,0.0,toprak yerin üzerini silindirle sıkıştırmak
506,0.0,silindir şeklindeki taş
507,0.0,birbirine karıştırılmış yemek düğün yemeği
508,0.0,büyük büyük iri iri
509,0.0,büyük salyangoz
510,0.0,aydınlatma cihazı lüks
511,0.0,hantal
512,0.0,şişman
513,0.0,uzun ağaç
514,0.0,mağara
515,0.0,havlu
516,0.0,harmanda dövülen sapların tane samanlarını ayırmak yığın haline
517,0.0,ayı yavrusu
518,0.0,tortu çöp
519,0.0,rezil olmak
520,0.0,etrafa rahatsızlık verici gürültü
521,0.0,rezil
522,0.0,çoban salatası
523,0.0,para
524,0.0,sarı renkli bir çeşit çiçek
525,0.0,bir tür ızgaralı mangal
526,0.0,hastalık
527,0.0,çamaşır mandalı
528,0.0,sabanda kullanılan küçük sopa
529,0.0,mısır
530,0.0,uzun sopa
531,0.0,sabanla çift sürülürken hayvanı ürkütmeye yarayan bir sopa
532,0.0,kadar
533,0.0,çamur
534,0.0,alıngan
535,0.0,çivi
536,0.0,yağda pişmiş yumurta
537,0.0,muhtar
538,0.0,murat istek
539,0.0,bataklık haline gelmiş çamur
540,0.0,elinden iş gelmez adam
541,0.0,akarsu kenarındaki mil toprağın bulunduğu alan
542,0.0,gömlek
543,0.0,güzel iyi
544,0.0,eskimiş parçalanmış
545,0.0,parçalanmış bez yığını
546,0.0,traktör
547,0.0,küçük düz taş
548,0.0,küçük sinek
549,0.0,molla
550,0.0,eti yermeyen hayvan
551,0.0,müjdelik
552,0.0,balta
553,0.0,vakit
554,0.0,sapsız bıçak
555,0.0,yapacaksın
556,0.0,yapıyorsun
557,0.0,
558,0.0,neymiş
559,0.0,
560,0.0,ninni söylemek
561,0.0,
562,0.0,nine
563,0.0,gereği var
564,0.0,
565,0.0,el yabancı yurt
566,0.0,ateş yakılan yer
567,0.0,kabaca uyarma
568,0.0,düğüne davet edilirken verilen hediye davetiye
569,0.0,omuzda taşınan odun
570,0.0,kadar
571,0.0,ondan sonra
572,0.0,ordan öyle
573,0.0,bağlamak
574,0.0,kadar
575,0.0,halka
576,0.0,korkak
577,0.0,ölmek üzere
578,0.0,bir tür ilenme beddua
579,0.0,çayırda havanın bir bölgeden ayrılmadan yayılması uzun bir halatın bir
580,0.0,genelde büyük baş hayvanları bağlamak kullanılan bir tür ip
581,0.0,yürüdü
582,0.0,kapalı
583,0.0,i̇htiyaçlar
584,0.0,öte taraf
585,0.0,geçen gün
586,0.0,öteki taraf
587,0.0,yere serilen kalın çul
588,0.0,keklik yavrusu
589,0.0,yere serilmek
590,0.0,atların semer eyerini vücûduna bağlayan kuşak
591,0.0,palamut
592,0.0,gelincik çiçeği
593,0.0,eli ayağını birbirine dolaşmak
594,0.0,patiska
595,0.0,çocuk ayakkabısı
596,0.0,yırtıcı hayvan sesi
597,0.0,bir çeşit kumaş
598,0.0,güzel
599,0.0,zavallı
600,0.0,aniden
601,0.0,perakende
602,0.0,havlu
603,0.0,ekin demeti
604,0.0,elbise
605,0.0,saklanacak
606,0.0,saklambaç
607,0.0,saklanıp
608,0.0,saklanbaç oyunu
609,0.0,saklanmak
610,0.0,ardıç türü
611,0.0,kümes
612,0.0,kümes
613,0.0,pantolon
614,0.0,bir delikten geçmek
615,0.0,boşanmak
616,0.0,camuzun manda küçük yavrusu
617,0.0,kuru kil görünümünde verimsiz toprak
618,0.0,si
619,0.0,yanıcı çam yaprağı topluluğu
620,0.0,mısır püskülü
621,0.0,kedi
622,0.0,yürüyüp gitmek
623,0.0,uymak
624,0.0,hikaye söylenmiş
625,0.0,sübyan çocuk
626,0.0,acele çabuk
627,0.0,üzerinde yemek pişirmek kullanılan demir alet
628,0.0,altı yedi litre süt alabilen hayvanlardan süt sağmakta kullanılan madeni
629,0.0,fasulye badem çekirdeği palamut iki parçadan
630,0.0,koyunların sıvı dışkılarının arka bacaklarındaki yünlere yapışarak kuruması
631,0.0,i̇çerisi kısmen ıslak geniş alan
632,0.0,i̇pucu
633,0.1515684263456417,sabanda kullanılan öküzlerin boynuna getirilen kısım
634,0.0,gelişigüzel
635,0.0,büyük kalbur
636,0.0,büyük gözenekli elek
637,0.0,çıkılması güç yer
638,0.0,bıçak
639,0.0,helke kova
640,0.0,i̇çi kalaylı bakır bakraç su taşımada kullanılır litre su alır
641,0.0,tabak tepsi
642,0.0,biraz acele koşmak
643,0.0,gelin alayı
644,0.0,bakır tabak
645,0.0,tanıma
646,0.0,alçak engin
647,0.0,nehirden yakalanan odun parçalan
648,0.0,selin sürüklediği çöp
649,0.0,sık olmamak
650,0.0,sıcak
651,0.0,fazla ısı nedeniyle bunalmak
652,0.0,eşek yavrusu
653,0.0,kaygan
654,0.0,kıç üstü oturarak bir yerden aşağı kaymak
655,0.0,pur topraktan oluşan yamaç
656,0.0,tokat
657,0.0,semiz otu
658,0.0,dinlendirilen tarla
659,0.0,argo ölü üzerinden çıkan giysi
660,0.0,küçük ufak
661,0.0,sapı demirden bıçak
662,0.0,süleyman
663,0.0,merdiven
664,0.0,salyangoz
665,0.0,baş işaret parmağının uçları arasındaki uzunluk ölçüsü
666,0.0,kamıştan yapılmış düdük
667,0.0,sürülen tarla
668,0.0,bulaşık süngeri
669,0.0,çelenk
670,0.0,toprak evlerin üstündeki çıkıntı
671,0.0,uzun ağaç
672,0.0,duvar terazisi
673,0.0,elin içi vurulan tokat
674,0.0,hayma yapımında dalları tutmak kullanılan sundurmalar
675,0.0,çağlayan
676,0.0,hoş kokulu yalnız koklamak yetiştirilen bir kavun cinsi
677,0.0,biçilmiş ekinin yığın şeklinde değil çember şeklinde istiflenmesi
678,0.0,bir kişinin sırtında taşıyacağı kadar odun çalı biçilmiş ekin yükü
679,0.0,yük
680,0.0,datel şeklindeki kadın baş örtüsü
681,0.0,pamuk çalısında toplamaya hazır hale gelmiş pamuğu içinde barındıran kap
682,0.0,yulaf
683,0.0,şimdi
684,0.0,alkış
685,0.0,tatlı
686,0.0,doğurmamış koyun
687,0.0,kuzu koyun arası dişi koyun bizim iki şişeğimiz var
688,0.0,kışkırtmak
689,0.0,şura
690,0.0,laf
691,0.0,tahta çardak
692,0.0,tahtacı
693,0.0,dedim yaptım ben sana anahtarı verdim taman
694,0.0,hani bilirsin
695,0.0,seyir
696,0.0,üzerinde çörek pişen yassı taş
697,0.0,boş laf
698,0.0,denk düşmek
699,0.0,sopa
700,0.0,aniden
701,0.0,dalga geçmek
702,0.0,kıvamına gelmek
703,0.0,fek güzel
704,0.0,ceviz
705,0.0,üzerine kapkacak koymak raflardan oluşan tezgah
706,0.0,mutfakta kap kacak koymak yapılmış raflar
707,0.0,i̇yi besili
708,0.0,biricik
709,0.0,güzel
710,0.0,erkek keçi
711,0.0,keçilerden yeni sağılmış sütünden yapılan bir tür peynir
712,0.0,keten torba
713,0.0,yuvarlak
714,0.0,bırakmak
715,0.0,makigillerden bir bitki
716,0.0,misal vermek
717,0.0,büyük leğen
718,0.0,leğen
719,0.0,çeşit
720,0.0,çinko parçası
721,0.0,pek
722,0.0,hızlı süratli
723,0.0,ekin biçmede kullanılan aygıt
724,0.0,beygire yük sarmak semerin iki yanına halatla yapılan üzengi
725,0.0,elin orta parmağıyla vurulan fiske
726,0.08076522805736036,fırlamak
727,0.0,sıçratmak
728,0.0,fiske
729,0.0,çul yıkamaya yarayan kalın sopa
730,0.0,boynuzlu gürbüz koç
731,0.0,erkek koyun
732,0.0,saman yığını
733,0.0,tulum halinde çıkarılmış keçi derisinden yapılan su taşıma aracı
734,0.0,suya dalmak
735,0.0,kaplumbağa
736,0.0,demet el genişliği kadar uzunluk ölçüsü olarak kullanılır
737,0.0,soğanın başı
738,0.0,ekmek yaparken hamura kıvam veren un
739,0.0,bunalmak sıkıntıya girmek
740,0.0,un ayrılmış buğday
741,0.0,çeyrek ta
742,0.0,dörtte bir
743,0.0,tahtadan yapılmış kg buğday alabilen tahıl ölçü kabı
744,0.0,bebeklerin ağlayarak kendinden geçmesi
745,0.0,bacak bud
746,0.0,kokmuş hayvan ölüsü
747,0.0,komşulara yemek verme
748,0.0,köpek sesi
749,0.0,mağlup etmek
750,0.0,süslenmek
751,0.0,sivrisinek
752,0.0,gelin indirirken geline verilen bahşiş
753,0.0,varınca
754,0.0,binek aracı
755,0.0,figan ağıt
756,0.0,gürültü
757,0.0,borçlu
758,0.0,sulandırmak
759,0.0,i̇şe yaramaz nesne
760,0.0,aynı yerde gidip gelme
761,0.0,bağırmak
762,0.0,bağırınca
763,0.0,çarçabuk gelip geçen
764,0.0,boş konuşma
765,0.0,sigara izmariti
766,0.0,huylandırmak
767,0.0,eşarp
768,0.0,saman atmaya yarayan kürek
769,0.0,yabancı
770,0.0,ter silmek kullanılan baş örtüsü el kullanılan mendile el yağlığı
771,0.0,çukur
772,0.0,eşarp
773,0.0,aksi
774,0.0,alan dışı taç
775,0.0,deri yayık tulum
776,0.0,aksi
777,0.0,kirli saç
778,0.0,naneyi andıran bir ot
779,0.0,ağaç kabuğu
780,0.0,üzerine giyecek bir şeyi kalmamış
781,0.0,bir başına kalmak
782,0.0,yağsız
783,0.0,sinek
784,0.0,ovum düz alan
785,0.0,tarla ovum
786,0.0,köyün içinde yazın serin olsun çıkılan kısmen yüksek yer
787,0.0,hafif
788,0.0,kalkmak
789,0.0,telaşlı bir şekilde
790,0.0,olgunlaşmak
791,0.0,bıkkın
792,0.0,uzak
793,0.0,yeğen
794,0.0,odun kesilirken oluşan kırıntı
795,0.0,yoksa
796,0.0,akabe arazi
797,0.0,birisinden bir yapmasını istemek buyurmak
798,0.0,i̇ş
799,0.0,yıkama yeri
800,0.0,yatak konulan yüksekçe raf
801,0.0,keskinleştirmek
802,0.0,bir böcek
803,0.0,ağaç kabuklarını yüzen işçiler
804,0.0,herhalde
805,0.0,zaten
806,0.0,tutanak
807,0.0,un bulgur kepeği hayvan yiyeceği
808,0.0,kara kış soğuğu
809,0.0,kışlık tahıl
810,0.0,ham kurşundan yapılan saçma
811,0.0,i̇çinde tahıl v saklandığı karanlık yer
812,0.0,ölmek
813,0.0,gömlek bebek giysisi
814,0.0,hiçbir vermemek
815,0.0,hayvan gübresi çöp yığını
816,0.0,totrağa çakılan demir kazık
817,0.0,filizlenmek
818,0.0,böğürtlrni andıran bikenli bir bitki
819,0.0,tüstüm işe yaramaz zobu uzanmış yatıyor
820,0.0,i̇nce ince yağan hafif yağmur
821,0.0,bir tür kuş
822,0.0,yumruk
823,0.0,abla
824,0.0,baş örtüsü
825,0.0,zengin olma
826,0.0,karışık
827,0.0,çevirme kontrol altına alma
828,0.0,nisan
829,0.0,acemi
830,0.0,olan
831,0.0,acep
832,0.0,acıkmak
833,0.0,doğru dürüst
834,0.0,etraf çevre
835,0.0,sinirlenme
836,0.0,ahır
837,0.0,arkadaş
838,0.0,gelecek
839,0.0,i̇nlemek anlamak
840,0.18103251679549112,misafir etmek
841,0.0,yarı açık hava
842,0.0,yavaş hareket eden
843,0.0,yüksek sesle bağırma
844,0.0,i̇şte
845,0.0,burada i̇şte
846,0.0,aptal salak
847,0.0,ormandan su akmayan taşlı su yolu
848,0.0,kayak kaymak
849,0.0,çam sakızı reçine
